id,lexeme,infinitive,pronoun,form,translation
de:glauben:praes.2pl:produce,glauben,glauben,ihr,glaubt,полагать
de:gratulieren:praes.1sg:produce,gratulieren,gratulieren,ich,gratuliere,поздравлять
de:gratulieren:praes.2sg:produce,gratulieren,gratulieren,du,gratulierst,поздравлять
de:gratulieren:praes.3sg:produce,gratulieren,gratulieren,er,gratuliert,поздравлять
de:gratulieren:praes.1pl:produce,gratulieren,gratulieren,wir,gratulieren,поздравлять
de:gratulieren:praes.2pl:produce,gratulieren,gratulieren,ihr,gratuliert,поздравлять
de:grillen:praes.1sg:produce,grillen,grillen,ich,grille,поджаривать
de:grillen:praes.2sg:produce,grillen,grillen,du,grillst,поджаривать
de:grillen:praes.3sg:produce,grillen,grillen,er,grillt,поджаривать
de:grillen:praes.1pl:produce,grillen,grillen,wir,grillen,поджаривать
de:grillen:praes.2pl:produce,grillen,grillen,ihr,grillt,поджаривать
de:haben:praes.1pl:produce,haben,haben,wir,haben,иметь
de:haben:praes.2pl:produce,haben,haben,ihr,habt,иметь
de:halten:praes.1sg:produce,halten,halten,ich,halte,считать
de:halten:praes.2sg:produce,halten,halten,du,hältst,считать
de:halten:praes.3sg:produce,halten,halten,er,hält,считать
de:halten:praes.1pl:produce,halten,halten,wir,halten,считать
de:halten:praes.2pl:produce,halten,halten,ihr,haltet,считать
de:heiraten:praes.1sg:produce,heiraten,heiraten,ich,heirate,жениться
de:heiraten:praes.2sg:produce,heiraten,heiraten,du,heiratest,жениться
de:heiraten:praes.3sg:produce,heiraten,heiraten,er,heiratet,жениться
de:heiraten:praes.1pl:produce,heiraten,heiraten,wir,heiraten,жениться
de:heiraten:praes.2pl:produce,heiraten,heiraten,ihr,heiratet,жениться
de:heissen:praes.1sg:produce,heissen,heißen,ich,heiße,называть
de:heissen:praes.2sg:produce,heissen,heißen,du,heißt,называть
de:heissen:praes.3sg:produce,heissen,heißen,er,heißt,называть
de:heissen:praes.1pl:produce,heissen,heißen,wir,heißen,называть
de:heissen:praes.2pl:produce,heissen,heißen,ihr,heißt,называть
de:helfen:praes.1sg:produce,helfen,helfen,ich,helfe,помогать
de:helfen:praes.2sg:produce,helfen,helfen,du,hilfst,помогать
de:helfen:praes.3sg:produce,helfen,helfen,er,hilft,помогать
de:helfen:praes.1pl:produce,helfen,helfen,wir,helfen,помогать
de:helfen:praes.2pl:produce,helfen,helfen,ihr,helft,помогать
de:hoeren:praes.1sg:produce,hoeren,hören,ich,höre,слышать
de:hoeren:praes.2sg:produce,hoeren,hören,du,hörst,слышать
de:hoeren:praes.3sg:produce,hoeren,hören,er,hört,слышать
de:hoeren:praes.1pl:produce,hoeren,hören,wir,hören,слышать
de:hoeren:praes.2pl:produce,hoeren,hören,ihr,hört,слышать
de:holen:praes.1sg:produce,holen,holen,ich,hole,нести
de:holen:praes.2sg:produce,holen,holen,du,holst,нести
de:holen:praes.3sg:produce,holen,holen,er,holt,нести
de:holen:praes.1pl:produce,holen,holen,wir,holen,нести
de:holen:praes.2pl:produce,holen,holen,ihr,holt,нести
de:kaufen:praes.1sg:produce,kaufen,kaufen,ich,kaufe,покупать
de:kaufen:praes.2sg:produce,kaufen,kaufen,du,kaufst,покупать
